,First Name,Last Name,Gender,Age,Occupation,Annual Salary,ID,index_A
0,Grace,Reed,Female,20,Historian,127736,820226,589
1,Madaline,Howard,Female,19,Physicist,97194,535821,619
2,Ryan,Higgins,Male,26,,181359,26460,638
3,Blake,Kelly,Male,22,Astronomer,116974,514507,617
4,Walter,Cunningham,Male,22,Meteorologist,57502,156436,332
5,Connie,Holmes,Female,19,Baker,81961,215767,833
6,Abraham,Hamilton,Male,26,Cook,85133,113903,363
7,Edith,Ryan,Female,27,Graphic Designer,99715,426128,188
8,Sofia,Phillips,Female,22,Insurer,77137,645454,54
9,Vivian,Douglas,Female,,Composer,193006,428328,955
10,David,Harper,Male,30,Journalist,140828,970999,925
11,Edith,Harris,Female,30,Hairdresser,113833,654357,220
12,Dominik,Warren,Male,20,Accountant,50909,208968,866
13,Alexander,Roberts,Male,28,Chef,139534,88873,229
14,Kellan,Murphy,Male,27,Geologist,102529,766225,904
15,Oscar,Barrett,Male,21,Social Worker,137501,759707,418
16,Henry,Ryan,Male,28,Fashion Designer,74163,834824,714
17,Madaline,Martin,Female,29,Fine Artist,150629,562185,172
18,Natalie,Elliott,Female,27,Interior Designer,121101,539953,984
19,Lyndon,Allen,Male,24,Aeroplane Pilot,50454,785382,483
20,Miley,Robinson,Female,26,Singer,161147,18424,89
21,Alfred,Roberts,Male,30,Electrician,73524,576373,28
22,Patrick,Henderson,Male,27,Manager,128347,682526,243
23,Alina,Murphy,Female,30,Chemist,85093,149773,943
24,Vivian,Stevens,Female,21,Auditor,123954,,245
25,Heather,Cameron,Female,30,Photographer,58172,757006,257
26,George,Spencer,Male,26,Actor,84960,466268,310
27,Naomi,Douglas,Female,18,Lawer,117272,488398,198
28,Alexander,Kelly,Male,29,Biochemist,115744,823051,631
29,Daniel,Moore,Male,25,Electrician,164567,792316,252
30,Alen,West,Male,18,Salesman,124240,59793,684
31,Eleanor,Ferguson,Female,30,Police Officer,66426,398010,394
32,Dominik,Johnston,Male,30,Agronomist,176062,787538,704
33,Ryan,Mason,Male,29,Programmer,55369,439273,523
34,Annabella,Ross,Female,27,Graphic Designer,74969,372927,46
35,Jordan,Andrews,Male,28,Lecturer,97709,7057,80
36,Caroline,Wilson,Female,25,Biochemist,63640,13863,526
37,Victor,Murphy,Male,18,Interior Designer,198649,235495,185
38,Ted,Harris,Male,24,Physicist,69556,334929,412
39,Alisa,Hamilton,Female,19,Astronomer,151352,43382,328
40,Samantha,Brown,Female,19,Salesman,122358,381699,108
41,Rosie,Murphy,Female,20,Physicist,104946,306286,606
42,Florrie,Hunt,Female,28,Mathematician,120994,562533,271
43,Darcy,Armstrong,Female,30,Mechanic,121777,266054,212
44,Luke,Barnes,Male,20,Veterinarian,57216,996308,610
45,William,Brown,Male,29,Accountant,196432,214173,833
46,Nicholas,Mason,Male,24,Fine Artist,121374,146094,624
47,Lenny,Crawford,Male,29,Salesman,64630,593485,45
48,Brooke,Campbell,Female,25,Agronomist,182272,974624,202
49,Preston,Andrews,Male,29,Engineer,36970,694492,109
50,Melanie,Smith,Female,20,Lawer,127611,514719,913
51,Heather,Bennett,Female,20,Geologist,74086,224083,54
52,Lilianna,Russell,Female,24,Florist,141404,915684,696
53,Lana,Farrell,Female,28,Pharmacist,56518,799945,940
54,Michelle,Tucker,Female,30,Architect,146450,89745,605
55,Naomi,Morgan,Female,24,Producer,42073,579873,438
56,Antony,Holmes,Male,20,Manager,132654,651189,993
57,Lucy,Walker,Female,23,Economist,145088,243219,232
58,Natalie,Clark,Female,30,Biochemist,86674,536991,567
59,Preston,Richardson,Male,18,Florist,193719,921000,195
60,Abigail,Carroll,Female,30,Historian,63128,63625,990
61,Arnold,Armstrong,Male,28,Florist,40855,481986,572
62,Brad,Craig,Male,22,Singer,123052,412993,422
63,Edwin,Foster,Male,20,Fashion Designer,183224,483467,267
64,Alford,Chapman,Male,30,Aeroplane Pilot,33022,118014,297
65,Leonardo,Wells,Male,27,Electrician,33364,992340,942
66,Kellan,Brooks,Male,28,Accountant,34759,843308,170
67,Richard,Williams,Male,29,Composer,131528,565888,865
68,Alan,Murphy,Male,22,Pharmacist,184872,22205,433
69,Adelaide,Roberts,Female,20,Mechanic,73901,106921,740
70,Emma,Williams,Female,20,Mathematician,138514,123383,261
71,Rosie,Myers,Female,29,Lecturer,152500,321632,660
72,Roman,Sullivan,Male,19,Interpreter,128125,345302,166
73,Haris,Martin,Male,27,Composer,104172,760976,346
74,Hailey,Hill,Female,29,Meteorologist,61012,264587,399
75,Penelope,Douglas,Female,19,Composer,30640,154989,253
76,Eric,Tucker,Male,21,Aeroplane Pilot,148582,355749,130
77,Eric,Payne,Male,23,Agronomist,157582,704893,734
78,Savana,Farrell,Female,21,Agronomist,54145,425075,422
79,Ashton,Russell,Male,19,Florist,74670,670778,81
80,Ned,Davis,Male,29,Dancer,193843,599430,815
81,Miley,Campbell,Female,24,Engineer,108492,616626,708
82,Roland,Perkins,Male,29,Journalist,95387,622395,933
83,Kelvin,Parker,Male,21,Composer,71789,300177,969
84,Naomi,Harper,Female,30,Aeroplane Pilot,156567,921310,684
85,Florrie,Scott,Female,29,Jeweller,197556,446629,5
86,Ted,Andrews,Male,20,Singer,72945,835758,767
87,James,Thomas,Male,27,Medic,170096,237838,761
88,Alexia,Williams,Female,23,Firefighter,195012,828867,503
89,Vanessa,Dixon,Female,27,Composer,121029,752508,201
90,Carlos,Anderson,Male,18,Singer,105000,381845,239
91,Carl,Bailey,Male,29,Florist,168596,329226,597
92,Max,Walker,Male,29,Electrician,117498,586501,446
93,Victoria,Foster,Female,29,Programmer,197583,21661,200
94,Dale,Morris,Male,24,Singer,85646,661431,967
95,Alexander,Farrell,Male,26,Photographer,187550,842389,345
96,Valeria,Kelly,Female,22,Hairdresser,72910,257378,269
97,Florrie,Murphy,Female,29,Graphic Designer,33704,49238,309
98,Sofia,Higgins,Female,26,Architect,66039,312777,879
99,Audrey,Harrison,Female,22,Photographer,61482,546380,197
100,Ryan,Morris,Male,30,Engineer,112461,780008,851
101,Albert,Sullivan,Male,29,Medic,41456,314233,794
102,Aiden,Barrett,Male,27,Lecturer,112071,976034,498
103,Chester,Thomas,Male,26,Aeroplane Pilot,128640,796980,267
104,Kate,Ferguson,Female,24,Producer,167489,975013,76
105,Ryan,Grant,Male,28,Physicist,92747,211757,397
106,Maya,Higgins,Female,30,Interpreter,77066,933008,969
107,Sam,Higgins,Male,21,Electrician,148354,119552,447
108,April,Harper,Female,19,Medic,183875,177549,561
109,James,Ferguson,Male,29,Social Worker,151038,77353,229
110,Clark,Richards,Male,26,Pharmacist,110220,302265,599
111,Julian,Payne,Male,20,Accountant,95207,76542,25
112,Michael,Perry,Male,26,Geologist,90841,837878,229
113,Briony,Baker,Female,18,Electrician,65362,205216,13
114,Myra,Gibson,Female,28,Photographer,109453,426582,502
115,Reid,Harrison,Male,21,Meteorologist,150607,162344,650
116,Haris,Fowler,Male,24,Cook,90982,312401,773
117,Garry,Carter,Male,22,Accountant,195356,440774,536
118,Miley,Anderson,Female,26,Chef,140610,254709,433
119,Arianna,Tucker,Female,24,Graphic Designer,152619,27981,641
120,Florrie,Foster,Female,20,Graphic Designer,153646,705061,367
